LPG,CO,Smoke
0.00879509,0.00600901,0.0236881
0.00830087,0.00554731,0.022269
0.00631292,0.00379954,0.0166227
0.00729177,0.00463734,0.0193897
0.00778453,0.00507606,0.0207925
0.00787277,0.00515577,0.0210444
0.0109892,0.00817549,0.0300505
0.00717649,0.0045363,0.0190624
0.00799099,0.00526311,0.0213821
0.00685266,0.00425581,0.0181451
0.00574716,0.00333704,0.0150364
0.00823683,0.00548824,0.0220855
0.00672411,0.00414584,0.0177817
0.00701645,0.00439706,0.0186087
0.00884302,0.00605432,0.023826
0.00773642,0.00503275,0.0206553
0.00602362,0.00356097,0.0158103
0.00792908,0.00520682,0.0212052
0.00903775,0.0062394,0.0243868
0.00605414,0.00358593,0.0158958
0.00775125,0.00504609,0.0206976
0.0063167,0.00380268,0.0166333
0.0101505,0.00732569,0.027607
0.00652431,0.00397652,0.0172179
0.00854045,0.00576985,0.0229562
0.0076643,0.00496801,0.0204497
0.00727939,0.00462646,0.0193546
0.00755462,0.00487,0.0201372
0.00817648,0.00543273,0.0219127
0.00816655,0.00542361,0.0218843
0.00701617,0.00439682,0.0186079
0.00640298,0.00387466,0.0168761
0.00778378,0.00507539,0.0207904
0.010682,0.00786121,0.0291539
0.00996322,0.00713954,0.0270633
0.00608478,0.00361104,0.0159818
0.0079843,0.00525701,0.021363
0.0109777,0.00816363,0.0300168
0.00597366,0.0035202,0.0156702
0.00703728,0.00441512,0.0186677
0.00676268,0.00417875,0.0178907
0.00683984,0.0042448,0.0181088
0.00583055,0.00340416,0.0152695
0.00577819,0.00336198,0.0151231
0.00656433,0.00401028,0.0173307
0.00516276,0.00287729,0.013409
0.00886306,0.00607329,0.0238836
0.00981143,0.00698962,0.0266232
0.00875855,0.00597453,0.0235829
0.00814262,0.00540165,0.0218158
0.00670957,0.00413346,0.0177407
0.00693532,0.00432693,0.018379
0.00874743,0.00596404,0.023551
0.0100254,0.00720125,0.0272439
0.00868796,0.00590807,0.02338
0.00786371,0.00514758,0.0210185
0.00775246,0.00504718,0.020701
0.00854488,0.00577399,0.0229689
0.00620657,0.00371133,0.0163237
0.00747566,0.00479978,0.0199125
0.00767258,0.00497544,0.0204733
0.00992488,0.00710159,0.0269521
0.00616409,0.00367627,0.0162044
